,1,2,3,4
Age,0.22105977279966774,0.08919077712577464,-0.2416479187696222,-0.023862457693110094
Gender,0.11129606278273407,0.08447340061736078,-0.08101534982361731,-0.0677693705807628
InitialWeight,0.14507764811703444,0.10018186468273216,-0.10046472662037222,-0.07666606487018716
GCS_min,0.3271544360239804,-0.8120075766644305,-0.5489950573483303,1.0010005805122182
HR_mean,-0.11610414124539098,0.16072626320074457,-0.0029216049748483834,-0.10325876149430463
Temp_mean,-0.4576519656340566,0.07492943409018842,0.4009160238448059,-0.18580632214528614
BUN_mean,2.0617191598994973,-0.23223263921888687,-0.3325843951044813,-0.23669347841504307
Creatinine_mean,2.104556241783086,-0.22260867595202077,-0.3077537863488957,-0.2591111306526674
HCO3_min,-0.7505557629114749,-0.11261000286528337,0.08749178783867981,0.263865040692186
HCT_mean,-0.3633425683479232,-0.20498178734628272,0.14687574804281628,0.2106454653682394
Platelets_mean,0.007428375805396541,-0.20911114050964574,0.05668248514406178,0.1487169703693301
WBC_mean,0.2182165282497922,0.1632285114710709,-0.01638833268394369,-0.1890408451094849
Na_mean,-0.2277024340519959,0.006272960378134074,0.1987763873797909,-0.07181820301991824
K_mean,0.8662853090682828,0.3459312367440452,-0.4015135034427692,-0.30250030175193393
Glucose_mean,0.09598911958334566,-0.032987101476303224,0.06622199724759736,-0.07016422098472208
Mg_mean,0.6334745294269362,0.16637647436015207,-0.2769251693796028,-0.14157538454860813
pH_min,-0.2688127670747947,-0.6874403966316982,0.6003720468288083,0.28928397203295947
PaO2_min,-0.1341236440721533,-0.27806730984275674,0.6973189787068322,-0.1755096539191763
PaCO2_max,-0.2916920325162295,0.6021792138053624,-0.39381085733647797,-0.20705044271068876
FiO2_max,0.03274357277544247,0.2374471348070327,-0.9611412027409811,0.40837138108911125
MAP_min_combined,-0.30035180576428994,-0.46209950961240576,0.35513969743907486,0.30868016322785674
SysBP_min_combined,-0.11975907524519816,-0.6058076227328427,0.3082098466349434,0.4026454179150578
Urine_sum_24h,-0.6921991096890411,0.20683601773225582,0.14676482875770225,-0.06629085446454083
MechVent_documented_24h,-0.2990531988431741,0.7862761879917691,0.7717627590401398,-1.144377980416908
