cluster,feature,observed_n,missing_rate,raw_median,raw_q25,raw_q75,standardized_mean
1,Age,1319,0.0,71.0,58.0,81.0,0.22105977279966774
1,Gender,1319,0.0,1.0,0.0,1.0,0.11129606278273407
1,InitialWeight,1212,0.0811220621683093,80.25,67.19999694824219,96.80000305175781,0.14507764811703444
1,GCS_min,1295,0.0181956027293404,12.0,7.0,15.0,0.3271544360239804
1,HR_mean,1296,0.01743745261561791,84.74418640136719,73.27314949035645,96.27688217163086,-0.11610414124539098
1,Temp_mean,1296,0.01743745261561791,36.58571243286133,36.21428680419922,37.04999923706055,-0.4576519656340566
1,BUN_mean,1319,0.0,63.0,48.5,83.0,2.0617191598994973
1,Creatinine_mean,1319,0.0,3.3333332538604736,2.2690476179122925,5.424999952316284,2.104556241783086
1,HCO3_min,1316,0.0022744503411675776,19.0,16.0,22.0,-0.7505557629114749
1,HCT_mean,1310,0.006823351023502622,29.5625,27.200000762939453,32.5,-0.3633425683479232
1,Platelets_mean,1303,0.012130401819560266,191.5,128.5,268.6666717529297,0.007428375805396541
1,WBC_mean,1302,0.012888551933282755,12.5,8.850000381469727,17.46250057220459,0.2182165282497922
1,Na_mean,1314,0.0037907505686125553,138.0,134.6666717529297,141.14999771118164,-0.2277024340519959
1,K_mean,1310,0.006823351023502622,4.599999904632568,4.150000095367432,5.099999904632568,0.8662853090682828
1,Glucose_mean,1305,0.010614101592115288,134.0,108.5999984741211,170.5,0.09598911958334566
1,Mg_mean,1304,0.011372251705837777,2.125,1.899999976158142,2.4000000953674316,0.6334745294269362
1,pH_min,864,0.3449583017437453,7.300000190734863,7.230000019073486,7.360000133514404,-0.2688127670747947
1,PaO2_min,862,0.3464746019711903,86.5,69.0,112.0,-0.1341236440721533
1,PaCO2_max,862,0.3464746019711903,41.0,35.0,48.0,-0.2916920325162295
1,FiO2_max,694,0.4738438210765732,1.0,0.5,1.0,0.03274357277544247
1,MAP_min_combined,1289,0.022744503411675554,54.0,47.33000183105469,61.0,-0.30035180576428994
1,SysBP_min_combined,1271,0.0363912054586808,87.0,77.0,98.0,-0.11975907524519816
1,Urine_sum_24h,1209,0.08339651250947688,862.0000152587891,352.99999237060547,1610.0,-0.6921991096890411
1,MechVent_documented_24h,1319,0.0,0.0,0.0,1.0,-0.2990531988431741
2,Age,3740,0.0,69.0,57.0,78.0,0.08919077712577464
2,Gender,3737,0.0008021390374332027,1.0,0.0,1.0,0.08447340061736078
2,InitialWeight,3694,0.012299465240641738,80.0,68.0,94.4000015258789,0.10018186468273216
2,GCS_min,3719,0.005614973262032086,3.0,3.0,7.0,-0.8120075766644305
2,HR_mean,3725,0.004010695187165791,87.84782409667969,80.1212158203125,97.94827270507812,0.16072626320074457
2,Temp_mean,3724,0.004278074866310155,36.98217582702637,36.58333206176758,37.38333511352539,0.07492943409018842
2,BUN_mean,3700,0.010695187165775444,17.5,13.0,25.33333396911621,-0.23223263921888687
2,Creatinine_mean,3702,0.010160427807486605,0.8999999761581421,0.699999988079071,1.2000000476837158,-0.22260867595202077
2,HCO3_min,3655,0.022727272727272707,22.0,19.0,24.0,-0.11261000286528337
2,HCT_mean,3683,0.015240641711229963,30.149999618530273,27.700000762939453,33.20000076293945,-0.20498178734628272
2,Platelets_mean,3678,0.016577540106951894,170.5,128.04999923706055,228.0,-0.20911114050964574
2,WBC_mean,3650,0.024064171122994638,12.800000190734863,9.449999809265137,16.700000762939453,0.1632285114710709
2,Na_mean,3598,0.03796791443850267,139.0,137.0,141.0,0.006272960378134074
2,K_mean,3404,0.08983957219251337,4.300000190734863,4.0,4.699999809265137,0.3459312367440452
2,Glucose_mean,3311,0.11470588235294121,131.5,109.5,160.0,-0.032987101476303224
2,Mg_mean,3417,0.08636363636363631,2.0,1.7999999523162842,2.2333333492279053,0.16637647436015207
2,pH_min,3680,0.016042780748663055,7.289999961853027,7.230000019073486,7.329999923706055,-0.6874403966316982
2,PaO2_min,3679,0.01631016042780753,83.0,69.0,103.0,-0.27806730984275674
2,PaCO2_max,3678,0.016577540106951894,50.0,45.0,56.0,0.6021792138053624
2,FiO2_max,3464,0.07379679144385032,1.0,1.0,1.0,0.2374471348070327
2,MAP_min_combined,3716,0.0064171122994652885,54.0,48.0,59.0,-0.46209950961240576
2,SysBP_min_combined,3697,0.011497326203208535,81.0,73.0,88.0,-0.6058076227328427
2,Urine_sum_24h,3712,0.007486631016042744,2213.00004196167,1385.0000076293945,3235.0000534057617,0.20683601773225582
